name_similarity,dob_match,country_risk,amount,previous_history,watchlist_match,label
0.96,1,0,25000,0,1,0
0.94,1,0,18000,0,1,0
0.92,1,0,12000,0,1,0
0.89,1,0,35000,0,1,0
0.87,1,0,22000,0,1,0
0.95,1,0,17000,0,1,0
0.91,1,0,15000,0,1,0
0.88,1,0,28000,0,1,0
0.93,1,0,40000,0,1,0
0.90,1,0,26000,0,1,0
0.97,1,0,14000,0,1,0
0.86,1,0,33000,0,1,0
0.85,1,0,21000,0,1,0
0.98,1,0,50000,0,1,0
0.94,1,0,27000,0,1,0
0.91,1,0,24000,0,1,0
0.89,1,0,30000,0,1,0
0.93,1,0,19000,0,1,0
0.88,1,0,23000,0,1,0
0.90,1,0,31000,0,1,0
0.99,1,1,900000,1,1,1
0.98,1,1,850000,1,1,1
0.97,1,1,750000,1,1,1
0.96,1,1,1000000,1,1,1
0.95,1,1,650000,1,1,1
0.94,1,1,800000,1,1,1
0.93,1,1,700000,1,1,1
0.92,1,1,950000,1,1,1
0.91,1,1,780000,1,1,1
0.90,1,1,890000,1,1,1
0.99,1,1,1200000,1,1,1
0.98,1,1,980000,1,1,1
0.97,1,1,830000,1,1,1
0.96,1,1,670000,1,1,1
0.95,1,1,910000,1,1,1
0.94,1,1,760000,1,1,1
0.93,1,1,880000,1,1,1
0.92,1,1,990000,1,1,1
0.91,1,1,810000,1,1,1
0.90,1,1,730000,1,1,1
0.42,0,0,5000,0,0,0
0.37,0,0,7000,0,0,0
0.25,0,0,3000,0,0,0
0.18,0,0,4500,0,0,0
0.51,0,0,6000,0,0,0
0.33,0,0,4000,0,0,0
0.48,0,0,8000,0,0,0
0.29,0,0,3500,0,0,0
0.40,0,0,5500,0,0,0
0.22,0,0,2000,0,0,0
